FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt50762.b.fits,B,2001 OG108,target,moving,+00:43:35.51,+20:29:23.0,2001/9/25,27:25.6,52177.43571,1.003,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50763.a.fits,A,2001 OG108,target,moving,+00:43:35.78,+20:29:24.2,2001/9/25,29:52.4,52177.43741,1.002,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50764.b.fits,B,2001 OG108,target,moving,+00:43:34.99,+20:29:24.4,2001/9/25,32:15.5,52177.43907,1.002,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50765.a.fits,A,HD8262,standard,fixed,+01:22:18.18,+18:40:58.3,2001/9/25,45:25.3,52177.44821,1.015,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
nt50766.b.fits,B,HD8262,standard,fixed,+01:22:17.67,+18:40:59.0,2001/9/25,46:00.4,52177.44862,1.014,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
nt50767.b.fits,B,HD8262,standard,fixed,+01:22:17.67,+18:40:59.0,2001/9/25,46:32.7,52177.44899,1.014,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
nt50768.a.fits,A,HD8262,standard,fixed,+01:22:18.21,+18:40:58.2,2001/9/25,47:07.8,52177.4494,1.014,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
nt50769.a.fits,A,HD8262,standard,fixed,+01:22:18.22,+18:40:58.2,2001/9/25,47:40.2,52177.44977,1.013,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
nt50770.b.fits,B,HD8262,standard,fixed,+01:22:17.69,+18:40:58.8,2001/9/25,48:15.4,52177.45018,1.013,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,HD   8262,G2V,HighPM*,7.58,0,6.812192,5.804,5.484,5.392,
flat0771.a.fits,A,flat lamp,calibration,fixed,+01:22:18.22,+18:40:58.3,2001/9/25,49:22.0,52177.45095,1.012,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0772.a.fits,A,flat lamp,calibration,fixed,+01:22:18.23,+18:40:58.3,2001/9/25,49:48.3,52177.45125,1.012,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0773.a.fits,A,flat lamp,calibration,fixed,+01:22:18.22,+18:40:58.3,2001/9/25,50:14.5,52177.45156,1.012,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0774.a.fits,A,flat lamp,calibration,fixed,+01:22:18.23,+18:40:58.3,2001/9/25,50:40.8,52177.45186,1.011,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
flat0775.a.fits,A,flat lamp,calibration,fixed,+01:22:18.23,+18:40:58.3,2001/9/25,51:07.0,52177.45216,1.011,1.05,12,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
arc0776.a.fits,A,arc lamp,calibration,fixed,+01:22:18.22,+18:40:58.3,2001/9/25,51:40.2,52177.45255,1.011,0.18,10,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50777.a.fits,A,1999 TS1,target,moving,+01:02:00.87,+13:00:04.7,2001/9/25,55:03.8,52177.45491,1.008,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50778.b.fits,B,1999 TS1,target,moving,+01:02:00.56,+13:00:11.0,2001/9/25,57:24.7,52177.45654,1.008,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50779.a.fits,A,1999 TS1,target,moving,+01:02:00.78,+13:00:04.1,2001/9/25,59:56.3,52177.45829,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50780.b.fits,B,1999 TS1,target,moving,+01:02:00.50,+13:00:10.5,2001/9/25,02:17.1,52177.45992,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50781.b.fits,B,1999 TS1,target,moving,+01:02:00.46,+13:00:10.5,2001/9/25,04:34.8,52177.46151,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50782.a.fits,A,1999 TS1,target,moving,+01:02:00.63,+13:00:03.6,2001/9/25,06:55.6,52177.46314,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50783.a.fits,A,1999 TS1,target,moving,+01:02:00.55,+13:00:03.4,2001/9/25,09:13.6,52177.46474,1.007,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50784.b.fits,B,1999 TS1,target,moving,+01:02:00.24,+13:00:09.8,2001/9/25,11:34.5,52177.46637,1.008,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
nt50785.b.fits,B,1999 TS1,target,moving,+01:02:00.18,+13:00:09.6,2001/9/25,13:52.2,52177.46797,1.008,120,1,spex,0.5x15,Prism,2001B099,Sheppard,,,,,,,,,,
